Name,Value,Category,Description
Phase Marg,55.26 °,System Information,Bode Plot Phase Margin
Cross Freq,11.37 kHz,System Information,Bode plot crossover frequency
Low Freq Gain,62.4 dB,System Information,Gain at 1Hz
Gain Marg,-35.13 dB,System Information,Bode Plot Gain Margin
Vout,3.3 V,System Information,Operational Output Voltage
Cin IRMS,1.34 A,Capacitor,Input capacitor RMS ripple current
Cin Pd,1.79 mW,Capacitor,Input capacitor power dissipation
Cout IRMS,133.11 mA,Capacitor,Output capacitor RMS ripple current
Cout Pd,28.01 µW,Capacitor,Output capacitor power dissipation
Duty Cycle,72.67%,System Information,Duty cycle
Efficiency,85.7%,System Information,Steady state efficiency
Frequency,570 kHz,System Information,Switching frequency
IC Tj,67 °C,IC,IC junction temperature
ICThetaJA,48.7 °C/W,IC,IC junction-to-ambient thermal resistance
L Ipp,461.11 mA,Inductor,Peak-to-peak inductor ripple current
L Pd,390.06 mW,Inductor,Inductor power dissipation
IC Pd,759.67 mW,IC,IC power dissipation
Diode Pd,497.24 mW,Diode,Diode power dissipation
D1 Tj,57.35 °C,Diode,D1 junction temperature
Pout,9.9 W,System Information,Total output power
Iin Avg,2.31 A,IC,Average input current
IC Ipk,3.23 A,IC,Peak switch current in IC
Mode,CCM,System Information,Conduction Mode
Vout p-p,1.23 mV,System Information,Peak-to-peak output ripple voltage
M Vds Act,230.53 mV,Mosfet,Voltage drop across the MosFET
M Irms,2.56 A,Mosfet,MOSFET RMS ripple current
Total Pd,1.65 W,Power,Total Power Dissipation
FootPrint,364 mm²,System Information,Total Foot Print Area of BOM components
Vin,5 V,System Information,Vin operating point
Iout,3 A,System Information,Iout operating point
Cin Pd,1.79 mW,Power,Input capacitor power dissipation
Cout Pd,28.01 µW,Power,Output capacitor power dissipation
L Pd,390.06 mW,Power,Inductor power dissipation
IC Pd,759.67 mW,Power,IC power dissipation
Diode Pd,497.24 mW,Power,Diode power dissipation
Vout Actual,3.32 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,5.09%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Total BOM,$3.10,System Information,Total BOM Cost
BOM Count,13 ,System Information,Total Design BOM count
